episode,timesteps,reward,num_actions,actions_plus_1
299,5224,12.653785,3,"[72, 57, 1]"
300,5240,15.099807,4,"[65, 4, 64, 23]"
301,5260,11.947326,5,"[65, 68, 5, 55, 2]"
302,5276,9.999968,4,"[54, 71, 23, 8]"
303,5292,3.845965,4,"[71, 43, 33, 22]"
304,5308,24.976209,4,"[78, 5, 59, 14]"
305,5324,11.432133,4,"[43, 77, 68, 20]"
306,5340,5.739112,4,"[75, 1, 3, 25]"
307,5352,2.434666,3,"[16, 57, 31]"
308,5368,15.277717,4,"[57, 68, 67, 16]"
309,5380,5.175937,3,"[65, 46, 6]"
310,5400,2.66137,5,"[60, 2, 8, 17, 17]"
311,5416,4.825233,4,"[75, 4, 27, 11]"
312,5428,16.208379,3,"[64, 69, 23]"
313,5440,13.928247,3,"[62, 73, 8]"
314,5452,14.1972,3,"[64, 76, 3]"
315,5464,12.353277,3,"[57, 59, 1]"
316,5480,20.951967,4,"[65, 69, 56, 5]"
317,5492,13.161985,3,"[63, 76, 4]"
318,5508,7.748535,4,"[66, 1, 12, 25]"
319,5520,19.634249,3,"[76, 19, 22]"
320,5544,18.506852,6,"[77, 17, 12, 8, 18, 11]"
321,5556,20.288848,3,"[78, 3, 23]"
322,5568,17.893548,3,"[76, 46, 21]"
323,5588,11.414722,5,"[64, 64, 10, 31, 13]"
324,5612,8.945126,6,"[64, 54, 39, 11, 6, 21]"
325,5624,14.695386,3,"[68, 67, 21]"
326,5636,7.021015,3,"[71, 39, 7]"
327,5652,6.095583,4,"[15, 62, 68, 24]"
328,5664,11.059023,3,"[62, 54, 1]"
329,5680,6.943272,4,"[65, 2, 33, 4]"
330,5700,18.120562,5,"[71, 2, 75, 57, 3]"
331,5716,11.344377,4,"[65, 56, 10, 25]"
332,5732,15.553861,4,"[73, 65, 63, 7]"
333,5744,16.00437,3,"[64, 66, 13]"
334,5756,4.474224,3,"[75, 39, 3]"
335,5772,10.563034,4,"[64, 16, 68, 21]"
336,5784,19.100207,3,"[77, 38, 2]"
337,5796,18.738092,3,"[64, 64, 67]"
338,5808,13.388418,3,"[71, 57, 2]"
339,5824,23.892122,4,"[78, 62, 17, 12]"
340,5844,12.043989,5,"[74, 14, 78, 35, 7]"
341,5856,4.504874,3,"[64, 49, 4]"
342,5868,5.175937,3,"[65, 46, 6]"
343,5884,14.607429,4,"[62, 68, 16, 10]"
344,5912,6.972903,7,"[71, 11, 1, 3, 1, 6, 24]"
345,5932,11.421117,5,"[54, 62, 7, 27, 6]"
346,5944,4.994983,3,"[64, 45, 8]"
347,5960,14.332644,4,"[68, 64, 7, 30]"
348,5976,-0.30366,4,"[54, 5, 43, 15]"
349,5988,9.202066,3,"[74, 71, 24]"
350,6016,26.55678,7,"[77, 20, 6, 64, 10, 20, 11]"
351,6024,15.052311,2,"[65, 78]"
352,6040,29.2551,4,"[77, 63, 57, 11]"
353,6056,9.520221,4,"[75, 10, 70, 14]"
354,6068,5.048849,3,"[65, 47, 5]"
355,6080,25.825225,3,"[76, 64, 3]"
356,6092,18.359125,3,"[77, 36, 17]"
357,6116,14.668244,6,"[75, 17, 2, 75, 10, 16]"
358,6128,15.81404,3,"[64, 59, 7]"
359,6140,13.208018,3,"[69, 60, 1]"
360,6160,23.255528,5,"[77, 59, 1, 26, 19]"
361,6180,22.149876,5,"[78, 66, 8, 28, 2]"
362,6192,6.501467,3,"[64, 35, 5]"
363,6212,18.532377,5,"[78, 4, 17, 14, 17]"
364,6228,15.52364,4,"[73, 71, 60, 4]"
365,6248,8.904395,5,"[57, 68, 7, 16, 21]"
366,6264,13.164926,4,"[65, 71, 23, 10]"
367,6280,7.001781,4,"[75, 78, 35, 7]"
368,6300,15.129431,5,"[5, 69, 20, 77, 11]"
369,6316,12.180475,4,"[69, 75, 17, 21]"
370,6328,20.318912,3,"[78, 19, 7]"
371,6340,13.677983,3,"[65, 64, 14]"
372,6356,11.71657,4,"[73, 17, 73, 19]"
373,6372,12.968817,4,"[67, 59, 15, 15]"
374,6388,6.566374,4,"[69, 4, 29, 15]"
375,6404,19.272101,4,"[68, 74, 60, 6]"
376,6416,25.314615,3,"[77, 65, 14]"
377,6428,14.899741,3,"[64, 78, 14]"
378,6452,23.667188,6,"[76, 17, 62, 12, 7, 21]"
379,6464,25.435179,3,"[77, 71, 8]"
380,6480,29.982576,4,"[77, 20, 77, 21]"
381,6496,8.920572,4,"[60, 9, 68, 6]"
382,6520,25.569334,6,"[77, 9, 74, 1, 25, 9]"
383,6536,24.969818,4,"[77, 19, 59, 1]"
384,6548,9.485396,3,"[72, 71, 39]"
385,6560,10.67566,3,"[74, 76, 6]"
386,6572,25.612344,3,"[77, 59, 7]"
387,6588,20.420092,4,"[77, 1, 23, 3]"
388,6604,12.320299,4,"[62, 64, 23, 7]"
389,6616,25.225924,3,"[77, 63, 3]"
390,6632,9.660412,4,"[73, 67, 7, 22]"
391,6656,23.037103,6,"[77, 70, 12, 6, 14, 16]"
392,6672,25.23639,4,"[77, 7, 71, 1]"
393,6688,23.393944,4,"[53, 76, 38, 2]"
394,6700,25.69694,3,"[76, 74, 6]"
395,6712,13.839568,3,"[64, 65, 14]"
396,6732,17.211605,5,"[72, 74, 1, 59, 2]"
397,6752,8.538865,5,"[75, 13, 32, 57, 5]"
398,6768,6.394531,4,"[8, 62, 27, 7]"
399,6784,29.828349,4,"[76, 19, 73, 14]"
400,6804,17.217008,5,"[71, 52, 59, 12, 14]"
401,6820,25.027046,4,"[77, 17, 57, 5]"
402,6840,23.596188,5,"[77, 4, 16, 55, 17]"
403,6856,42.54716,4,"[77, 20, 78, 7]"
404,6868,9.097686,3,"[72, 59, 51]"
405,6884,23.558297,4,"[78, 17, 65, 22]"
406,6896,7.843978,3,"[68, 13, 23]"
407,6912,27.346582,4,"[77, 17, 69, 6]"
408,6928,18.959235,4,"[68, 68, 67, 5]"
409,6948,5.025614,5,"[73, 7, 5, 17, 15]"
410,6964,12.429606,4,"[8, 63, 65, 7]"
411,6980,29.525256,4,"[78, 59, 61, 10]"
412,6992,11.142469,3,"[73, 62, 21]"
413,7004,20.902304,3,"[68, 65, 62]"
414,7020,30.373715,4,"[76, 65, 61, 6]"
415,7032,17.859987,3,"[78, 42, 10]"
416,7044,25.095701,3,"[77, 52, 1]"
417,7060,20.953823,4,"[77, 66, 50, 2]"
418,7072,19.092961,3,"[77, 17, 23]"
419,7084,26.004316,3,"[78, 56, 9]"
420,7104,12.804274,5,"[71, 65, 7, 22, 4]"
421,7124,23.116684,5,"[77, 20, 60, 17, 21]"
422,7136,23.856471,3,"[77, 67, 25]"
423,7148,12.653785,3,"[72, 57, 1]"
424,7168,6.995315,5,"[64, 7, 1, 9, 23]"
425,7188,18.531927,5,"[76, 18, 6, 25, 5]"
426,7204,42.54716,4,"[77, 20, 78, 7]"
427,7220,23.190644,4,"[77, 74, 22, 9]"
428,7232,19.159161,3,"[78, 21, 18]"
429,7244,15.519749,3,"[69, 65, 22]"
430,7272,10.912575,7,"[68, 17, 10, 64, 8, 21, 7]"
431,7280,25.082668,2,"[77, 53]"
432,7292,5.794169,3,"[74, 17, 13]"
433,7308,14.864316,4,"[68, 65, 34, 2]"
434,7320,14.086359,3,"[64, 65, 1]"
435,7328,25.204795,2,"[78, 65]"
436,7344,27.204646,4,"[77, 17, 66, 9]"
437,7360,28.196587,4,"[78, 33, 71, 13]"
438,7372,19.638761,3,"[76, 17, 24]"
439,7388,12.770536,4,"[3, 64, 57, 6]"
440,7404,25.647439,4,"[76, 2, 75, 3]"
441,7416,13.750088,3,"[65, 63, 2]"
442,7436,12.870118,5,"[68, 75, 12, 16, 11]"
443,7452,6.697977,4,"[75, 60, 56, 4]"
444,7468,30.02193,4,"[77, 74, 55, 2]"
445,7480,24.869721,3,"[78, 69, 9]"
446,7492,25.868005,3,"[76, 6, 74]"
447,7504,18.354848,3,"[77, 34, 19]"
448,7516,25.667781,3,"[76, 62, 18]"
449,7532,22.61579,4,"[78, 74, 21, 22]"
450,7544,11.906309,3,"[69, 53, 21]"
451,7560,23.625418,4,"[76, 71, 22, 13]"
452,7572,6.855706,3,"[70, 35, 12]"
453,7588,6.197856,4,"[65, 12, 30, 10]"
454,7600,18.367707,3,"[77, 35, 18]"
455,7620,18.35653,5,"[64, 74, 8, 59, 3]"
456,7632,19.274172,3,"[77, 36, 4]"
457,7644,25.803535,3,"[76, 16, 64]"
458,7664,22.688544,5,"[77, 62, 6, 12, 25]"
459,7676,20.92845,3,"[76, 11, 17]"
460,7692,30.622997,4,"[76, 52, 63, 4]"
461,7708,18.512025,4,"[76, 18, 11, 25]"
462,7728,30.320429,5,"[78, 55, 12, 60, 3]"
463,7748,11.586488,5,"[68, 68, 19, 2, 25]"
464,7768,19.712544,5,"[76, 1, 14, 25, 1]"
465,7788,21.649911,5,"[76, 19, 61, 41, 11]"
466,7808,26.559075,5,"[76, 15, 72, 16, 16]"
467,7820,20.922677,3,"[76, 6, 22]"
468,7832,25.489427,3,"[76, 70, 10]"
469,7848,21.817699,4,"[76, 59, 56, 4]"
470,7864,17.944606,4,"[72, 63, 59, 1]"
471,7876,8.191952,3,"[71, 17, 16]"
472,7888,20.381165,3,"[77, 26, 1]"
473,7904,29.822208,4,"[77, 73, 56, 2]"
474,7920,23.986692,4,"[78, 63, 8, 20]"
475,7932,25.357637,3,"[77, 61, 5]"
476,7940,18.828531,2,"[78, 39]"
477,7968,1.526945,7,"[15, 68, 19, 4, 21, 7, 22]"
478,7988,20.499953,5,"[65, 66, 20, 56, 1]"
479,8004,30.149579,4,"[77, 59, 67, 5]"
480,8016,19.159161,3,"[78, 21, 18]"
481,8032,13.30336,4,"[68, 63, 40, 11]"
482,8052,29.730496,5,"[76, 4, 16, 77, 35]"
483,8072,9.995538,5,"[72, 60, 17, 21, 25]"
484,8088,18.381038,4,"[78, 21, 11, 20]"
485,8100,19.385507,3,"[78, 30, 9]"
486,8120,21.335037,5,"[78, 15, 65, 46, 4]"
487,8132,14.258534,3,"[71, 63, 22]"
488,8144,25.612344,3,"[77, 59, 7]"
489,8160,27.355371,4,"[77, 15, 71, 6]"
490,8172,25.182527,3,"[77, 75, 4]"
491,8192,16.571842,5,"[77, 37, 3, 37, 15]"
492,8208,20.918286,4,"[77, 61, 56, 1]"
493,8224,24.690514,4,"[76, 64, 21, 8]"
494,8236,20.933912,3,"[76, 13, 15]"
495,8248,19.115479,3,"[77, 16, 24]"
496,8260,20.402368,3,"[77, 19, 8]"
497,8272,20.402368,3,"[77, 19, 8]"
498,8284,19.094394,3,"[77, 15, 25]"
499,8300,12.180809,4,"[61, 65, 23, 7]"
500,8316,22.926716,4,"[77, 62, 21, 22]"
501,8332,24.613259,4,"[77, 20, 56, 3]"
502,8344,19.461938,3,"[77, 30, 10]"
503,8356,25.182527,3,"[77, 75, 4]"
504,8368,18.367707,3,"[77, 35, 18]"
505,8380,25.612344,3,"[77, 59, 7]"
506,8392,25.065819,3,"[77, 61, 18]"
507,8408,24.354718,4,"[77, 60, 24, 8]"
