Lote,Semana,Temperatura,Peso_inicio,Peso_fin,Peces,Peso_total,Alimento_semanal,Alimento_acumulado,Precio_alimento,Coste_semanal,Coste_acumulado,Precio_venta,Ingreso_potencial,FeedRate_%,GrowthRate_%,DeathRate_%
2,76,20.02,328.4607760473743,338.24005318438776,6613.491224371192,2236947.6234657937,152242.92006889702,4876512.800164873,1.11,168.98964127647568,5412.929208183006,4.2756,9564.29325889035,1.0,0.42,0.0172603
2,77,19.78333333333333,338.24005318438776,348.31048916987424,6605.504801783887,2300766.608723299,156586.33364260558,5033099.1338074785,1.11,173.81083034329222,5586.740038526298,4.3570400000000005,10024.532144871762,1.0,0.42,0.0172603
2,78,22.2275,348.31048916987424,360.93704970888945,6597.907674034506,2381429.330117656,177159.02887169406,5210258.162679172,1.11,196.64652204758042,5783.386560573878,4.31632,10279.01104617344,1.1,0.51,0.0164384
2,79,23.672857142857143,360.93704970888945,373.2405741728544,6591.058848494372,2460050.589019112,166700.05310823594,5376958.215787408,1.11,185.03705895014193,5968.42361952402,4.19416,10317.8457784404,1.0,0.48,0.0148356
2,80,25.585,373.2405741728544,388.1197130290038,6584.559082638917,2555597.1815763367,206644.24947760542,5583602.465265013,1.11,229.37511692014203,6197.798736444162,4.265420000000001,10900.695330239341,1.2,0.56,0.0140938
2,81,24.661666666666665,388.1197130290038,401.34983276331985,6577.72411333597,2639968.472850648,178891.80271034362,5762494.267975356,1.11,198.56990100848145,6396.368637452644,5.00856,13222.440494380842,1.0,0.48,0.0148356
2,82,25.90571428571429,401.34983276331985,415.60955028366493,6571.237497515777,2731069.061149688,221757.35171945445,5984251.619694811,1.11,246.15066040859446,6642.519297861239,5.09,13901.141521251911,1.2,0.5,0.0140938
2,83,26.495,415.60955028366493,431.8769674375776,6565.081163871802,2835307.3440345163,248527.28456462163,6232778.904259433,1.11,275.86528586673,6918.384583727969,4.77442,13536.948089505277,1.3,0.55,0.0133891
2,84,25.8525,431.8769674375776,447.2212956432276,6558.607015883126,2933148.7272580145,238165.81689889941,6470944.721158332,1.11,264.36405675777837,7182.748640485747,4.90676,14392.256848960535,1.2,0.5,0.0140938
2,85,27.445,447.2212956432276,459.89476406900906,6552.769597810932,3013584.428183834,205320.41090806105,6676265.132066393,1.11,227.9056561079478,7410.654296593695,4.87622,14694.900660398574,1.0,0.4,0.0127197
2,86,26.366000000000003,459.89476406900906,475.9029410376672,6546.630566014947,3115560.740253601,253141.0919674421,6929406.224033835,1.11,280.98661208386073,7691.640908677556,4.8864,15223.876001175197,1.2,0.49,0.0133891
2,87,26.37333333333333,475.9029410376672,492.46833620031504,6540.497285636105,3220987.8161798893,261707.1021813025,7191113.326215138,1.11,290.4948834212458,7982.135792098801,4.85586,15640.665897075276,1.2,0.49,0.0133891
2,88,26.8625,492.46833620031504,509.61034540173375,6534.369751286127,3329982.4259355646,270562.9765591107,7461676.302774249,1.11,300.3249039806129,8282.460696079414,5.18162,17254.703537876238,1.2,0.49,0.0133891
2,89,25.736,509.61034540173375,524.051810253293,6527.925889325157,3420971.379500186,233098.7698154895,7694775.072589738,1.11,258.7396344951934,8541.200330574608,5.1409,17586.871764872507,1.0,0.4,0.0140938
2,90,24.72,524.051810253293,537.776344306847,6521.149706971036,3506920.0500925505,215521.19690851172,7910296.26949825,1.11,239.228528568448,8780.428859143056,5.2427,18385.729746620218,0.9,0.37,0.0148356
2,91,24.715,537.776344306847,551.8603138805191,6514.380558496905,3595028.0997492536,220935.9631558307,8131232.232654081,1.11,245.23891910297206,9025.667778246028,5.18162,18628.069502222726,0.9,0.37,0.0148356
2,92,24.5025,551.8603138805191,566.313132327988,6507.618436601388,3685349.780827096,226486.770284203,8357719.002938284,1.11,251.40031501546537,9277.068093261494,5.11036,18833.464105947558,0.9,0.37,0.0148356
2,93,23.59,566.313132327988,581.1444595317881,6500.863333990685,3777940.7087220345,232177.03619210707,8589896.039130392,1.11,257.7165101732389,9534.784603434733,4.96784,18768.20497041767,0.9,0.37,0.0148356
2,94,22.61,581.1444595317881,594.7025318509699,6493.760256666714,3861855.665872899,211564.67968843394,8801460.718818825,1.11,234.83679445416172,9769.621397888895,5.00856,19342.335813864363,0.8,0.33,0.0156164
2,95,22.0175,594.7025318509699,608.5769133459464,6486.664940420753,3947634.527350629,216263.9172888823,9017724.636107707,1.11,240.05294819065938,10009.674346079555,7.90986,31225.23644250965,0.8,0.33,0.0156164
2,96,21.0775,608.5769133459464,622.7749834945915,6479.57737677277,4035318.6938715903,221067.53353163524,9238792.169639343,1.11,245.38496222011514,10255.059308299671,7.57392,30563.180961887912,0.8,0.33,0.0156164
2,97,20.8,622.7749834945915,632.8711106181988,6472.143704148707,4096032.7741251756,197730.6159997079,9436522.785639051,1.11,219.4809837596758,10474.540292059346,7.970940000000001,32649.231480585324,0.7,0.23,0.0163973
3,98,18.98333333333333,30.0,32.23099595447788,7090.547736024998,228535.41539485403,25347.000000000004,25347.000000000004,1.1299800000000002,28.641603060000012,28.641603060000012,0.0,0.0,1.7,1.03,0.0190295
3,99,16.6075,32.23099595447788,33.985278831029675,7080.636391967064,240637.4020821366,23996.21861645967,49343.21861645968,1.1299800000000002,27.115247112227106,55.75685017222712,0.0,0.0,1.5,0.76,0.0199809
3,100,15.91,33.985278831029675,35.83504459043465,7070.738902232475,253380.24384882167,25266.92721862434,74610.14583508403,1.1299800000000002,28.551122418501137,84.30797259072826,0.0,0.0,1.5,0.76,0.0199809
3,101,15.88,35.83504459043465,37.78549021719275,7060.855247455314,266797.8768777369,26604.925604126278,101215.0714392103,1.1299800000000002,30.06303383415062,114.37100642487887,0.0,0.0,1.5,0.76,0.0199809
3,102,14.815,37.78549021719275,38.42487531181018,7050.492199765868,270914.28366289375,14940.681105153264,116155.75254436355,1.1299800000000002,16.882670835201086,131.25367726007997,0.0,0.0,0.8,0.24,0.02098
3,103,15.125,38.42487531181018,40.51628138838168,7040.636846333209,285260.4236194445,28445.999784603842,144601.75232896738,1.1299800000000002,32.143410836606655,163.39708809668662,0.0,0.0,1.5,0.76,0.0199809
3,104,14.876666666666669,40.51628138838168,41.20187541561676,7030.303472705571,289661.6878163928,15974.58372268889,160576.33605165628,1.1299800000000002,18.050960114963996,181.44804821165062,0.0,0.0,0.8,0.24,0.02098
3,105,14.868,41.20187541561676,41.89907068447801,7019.985265122264,294130.8588273518,16221.054517717997,176797.39056937429,1.1299800000000002,18.329467183930987,199.7775153955816,0.0,0.0,0.8,0.24,0.02098
3,106,14.7,41.89907068447801,42.60806350473757,7009.682201324448,298668.98438206076,16471.328094331704,193268.71866370598,1.1299800000000002,18.612271320032942,218.38978671561452,0.0,0.0,0.8,0.24,0.02098
3,107,14.503333333333332,42.60806350473757,43.3290535080126,6999.394259085954,303277.1283756115,16725.463125395403,209994.1817891014,1.1299800000000002,18.899438822434302,237.2892255380488,0.0,0.0,0.8,0.24,0.02098
3,108,14.1925,43.3290535080126,44.062243703975675,6989.121416213232,307956.37111786305,16983.519189034243,226977.70097813563,1.1299800000000002,19.191037013224918,256.4802625512737,0.0,0.0,0.8,0.24,0.02098
