episode,timesteps,reward,num_actions,actions_plus_1
144,2740,2.553833,3,"[61, 38, 18]"
145,2760,6.019967,5,"[59, 62, 23, 30, 8]"
146,2772,12.767446,3,"[23, 60, 73]"
147,2792,7.043783,5,"[11, 42, 60, 58, 24]"
148,2824,-1.9526,8,"[5, 28, 28, 14, 70, 20, 27, 3]"
149,2856,0.882429,8,"[16, 66, 1, 13, 10, 6, 13, 18]"
150,2872,18.987134,4,"[62, 77, 67, 2]"
151,2888,10.974633,4,"[65, 55, 30, 6]"
152,2916,14.521429,7,"[68, 10, 14, 67, 8, 6, 22]"
153,2928,8.810823,3,"[75, 56, 12]"
154,2940,0.31666,3,"[49, 55, 13]"
155,2960,9.626881,5,"[77, 26, 74, 22, 9]"
156,2976,7.983623,4,"[3, 77, 56, 7]"
157,2992,10.952971,4,"[67, 15, 54, 7]"
158,3008,-6.398829,4,"[20, 48, 18, 18]"
159,3032,-7.433648,6,"[13, 1, 7, 54, 27, 15]"
160,3044,8.123804,3,"[77, 67, 25]"
161,3060,6.747112,4,"[59, 33, 59, 18]"
162,3080,16.755266,5,"[53, 13, 70, 71, 1]"
163,3100,7.349419,5,"[62, 62, 6, 22, 17]"
164,3116,8.846471,4,"[65, 65, 30, 9]"
165,3132,2.442349,4,"[62, 15, 27, 13]"
166,3156,6.824551,6,"[2, 16, 11, 74, 21, 19]"
167,3168,9.586938,3,"[62, 62, 6]"
168,3188,18.294122,5,"[19, 17, 76, 40, 4]"
169,3204,14.046728,4,"[58, 64, 59, 1]"
170,3216,7.847649,3,"[30, 72, 2]"
171,3228,1.971075,3,"[11, 71, 22]"
172,3248,4.874523,5,"[11, 76, 54, 26, 2]"
173,3256,9.361978,2,"[73, 44]"
174,3272,13.073083,4,"[56, 73, 61, 5]"
175,3296,6.53798,6,"[9, 62, 74, 6, 6, 25]"
176,3312,7.711223,4,"[3, 63, 76, 14]"
177,3328,12.476233,4,"[65, 31, 69, 4]"
178,3340,8.003273,3,"[55, 56, 6]"
179,3356,6.9372,4,"[61, 77, 27, 4]"
180,3376,14.355907,5,"[62, 60, 10, 60, 3]"
181,3396,13.97882,5,"[62, 20, 74, 12, 14]"
182,3420,12.856232,6,"[3, 32, 62, 5, 66, 27]"
183,3432,10.052693,3,"[67, 71, 18]"
184,3448,7.310499,4,"[32, 76, 28, 7]"
185,3460,11.223055,3,"[65, 74, 4]"
186,3472,7.390159,3,"[75, 70, 24]"
187,3496,9.706361,6,"[18, 2, 61, 3, 66, 6]"
188,3512,9.713188,4,"[59, 5, 56, 10]"
189,3528,-1.521812,4,"[39, 39, 64, 14]"
190,3540,2.901672,3,"[76, 33, 8]"
191,3552,19.441696,3,"[71, 65, 72]"
192,3576,-0.247197,6,"[69, 42, 3, 26, 22, 7]"
193,3588,15.014711,3,"[26, 68, 75]"
194,3608,6.303986,5,"[75, 58, 3, 26, 20]"
195,3636,5.058414,7,"[58, 10, 13, 65, 34, 9, 19]"
196,3656,7.610622,5,"[28, 26, 74, 58, 9]"
197,3668,11.351016,3,"[68, 60, 15]"
198,3680,8.069635,3,"[62, 74, 20]"
199,3700,4.760747,5,"[18, 62, 60, 20, 9]"
200,3716,6.401715,4,"[55, 61, 38, 2]"
201,3728,3.460448,3,"[74, 14, 16]"
202,3740,5.522239,3,"[65, 30, 9]"
203,3760,24.18853,5,"[32, 77, 64, 27, 8]"
204,3780,5.265081,5,"[75, 21, 57, 43, 12]"
205,3792,8.896689,3,"[60, 58, 12]"
